Name,name_clean,name_type,name_iupac,name_synonyms,CAS,cas_final,cas_valid,cas_source,pubchem_cid,inchikey,smiles_canonical,smiles_isomeric,smiles_valid,mol_formula,mw,dD,dP,dH,R0,bp_c,mp_c,density_g_ml,flash_point_c,vapor_pressure_mmhg,dielectric_constant,xlogp,hbd_count,hba_count,ghs_hazard_statements,ghs_pictograms,ghs_signal_word,ich_q3c_class,ich_q3c_pde_mg_day,flag_carcinogen,flag_reproductive_toxin,flag_flammable,flag_acutely_toxic,hsp_flag_dd_low,hsp_flag_dd_high,hsp_flag_dp_negative,hsp_flag_dh_negative,hsp_flag_r_large,hsp_flag_nonpolar_check,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,cf_alternative_parents,cf_classification_type,confidence_score,confidence_label,score_cas,score_name_match,score_pubchem,score_smiles,score_crossref,score_properties,verify_inchikey_mismatch,verify_cas_conflict,verify_name_inconsistency,verify_formula_mismatch,verify_hsp_outlier,verify_classyfire_consistent,url_primary,url_source,source_uncertainty,already_in_database,lookup_failed,needs_manual_review,duplicate,processing_notes
"1,1,1,2-Tetrachloroethane","1,1,1,2-Tetrachloroethane",systematic_chemical,"1,1,1,2-tetrachloroethane",,630-20-6,630-20-6,True,original,12418.0,QVLAWKAXOMEXPM-UHFFFAOYSA-N,ClCC(Cl)(Cl)Cl,,True,C2H2Cl4,167.8,18.0,4.4,4.2,,130.6,,,,,,2.7,0.0,0.0,H302; H310; H318; H319; H331; H332; H351; H412; H320; H335; H341; H373; H402,Corrosive; Acute Toxic; Irritant; Health Hazard,Danger,Not listed,,True,False,False,True,False,False,False,False,False,False,Organic compounds,Organohalogen compounds,Organochlorides,,Organochlorides,Hydrocarbon derivatives; Alkyl chlorides,full_molecule,0.988,HIGH,1.0,1.0,1.0,1.0,1.0,0.75,False,False,False,False,False,True,https://pubchem.ncbi.nlm.nih.gov/compound/12418,pubchem,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1,1-Trichloroethane","1,1,1-Trichloroethane",systematic_chemical,"1,1,1-trichloroethane",,71-55-6,71-55-6,True,original,6278.0,UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,,True,C2H3Cl3,133.40,16.8,4.3,2.0,,,,,,,,2.4,0.0,0.0,H332; H420; H225; H315; H319; H290; H320; H336; H350; H360; H370; H372; H400; H410; H335; H351; H361; H373,Irritant; Flammable; Corrosive; Health Hazard; Environmental Hazard,Warning,1,,True,True,True,False,False,False,False,False,False,False,Organic compounds,Organohalogen compounds,Organochlorides,,Organochlorides,Hydrocarbon derivatives; Alkyl chlorides,full_molecule,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,False,False,False,True,https://pubchem.ncbi.nlm.nih.gov/compound/6278,pubchem,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1,1-Trifluoroethane","1,1,1-Trifluoroethane",systematic_chemical,"1,1,1-trifluoroethane",,420-46-2,420-46-2,True,original,9868.0,UJPMYEOUBPIPHQ-UHFFFAOYSA-N,CC(F)(F)F,,True,C2H3F3,84.04,14.6,10.0,0.0,,-46.7,,,,,,1.7,0.0,3.0,H220; H224; H280; H420,Flammable; Compressed Gas; Irritant,Danger,Not listed,,False,False,True,False,False,False,False,False,False,False,Organic compounds,Organohalogen compounds,Organofluorides,,Organofluorides,Hydrofluorocarbons; Hydrocarbon derivatives; Alkyl fluorides,full_molecule,0.988,HIGH,1.0,1.0,1.0,1.0,1.0,0.75,False,False,False,False,False,True,https://pubchem.ncbi.nlm.nih.gov/compound/9868,pubchem,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2,2-Tetrabromoethane","1,1,2,2-Tetrabromoethane",systematic_chemical,"1,1,2,2-tetrabromoethane",,79-27-6,79-27-6,True,original,6588.0,QXSZNDIIPUOQMB-UHFFFAOYSA-N,BrC(Br)C(Br)Br,,True,C2H2Br4,345.65,21.0,7.0,8.2,,243.6,-0.9,,,,,3.6,0.0,0.0,H319; H330; H412; H302; H315; H331; H335; H370; H372; H373; H320; H371,Acute Toxic; Irritant; Health Hazard,Danger,Not listed,,False,False,False,True,False,False,False,False,False,False,Organic compounds,Organohalogen compounds,Organobromides,,Organobromides,Hydrocarbon derivatives; Alkyl bromides,full_molecule,1.0,HIGH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,True,https://pubchem.ncbi.nlm.nih.gov/compound/6588,pubchem,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane",systematic_chemical,"1,1,2,2-tetrachloroethane",,79-34-5,79-34-5,True,original,6591.0,QPFMBZIOSGYJDE-UHFFFAOYSA-N,ClC(Cl)C(Cl)Cl,,True,C2H2Cl4,167.8,18.8,5.1,5.3,,,-43.4,,,,,2.4,0.0,0.0,H310; H330; H411; H302; H350; H315; H319; H331; H335; H336; H341; H351; H370; H372; H227; H301; H401,Acute Toxic; Environmental Hazard; Irritant; Health Hazard,Danger,1,,True,False,False,True,False,False,False,False,False,False,Organic compounds,Organohalogen compounds,Organochlorides,,Organochlorides,Hydrocarbon derivatives; Alkyl chlorides,full_molecule,0.988,HIGH,1.0,1.0,1.0,1.0,1.0,0.75,False,False,False,False,False,True,https://pubchem.ncbi.nlm.nih.gov/compound/6591,pubchem,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2,2-Tetrachloropropane","1,1,2,2-Tetrachloropropane",systematic_chemical,"1,1,2,2-tetrachloropropane",,13116-60-4,13116-60-4,True,original,83154.0,MDCBRXYTSHYYJE-UHFFFAOYSA-N,CC(Cl)(Cl)C(Cl)Cl,,True,C3H4Cl4,181.9,17.9,6.7,3.3,,153.0,,,,,,3.1,0.0,0.0,,,,Not listed,,False,False,False,False,False,False,False,False,False,False,Organic compounds,Organohalogen compounds,Organochlorides,,Organochlorides,Hydrocarbon derivatives; Alkyl chlorides,full_molecule,0.988,HIGH,1.0,1.0,1.0,1.0,1.0,0.75,False,False,False,False,False,True,https://pubchem.ncbi.nlm.nih.gov/compound/83154,pubchem,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2-Tribromo Ethylene","1,1,2-Tribromo Ethylene",systematic_chemical,"1,1,2-tribromoethene",,598-16-3,598-16-3,True,original,11712.0,OZVJKTHTULCNHB-UHFFFAOYSA-N,BrC=C(Br)Br,,True,C2HBr3,264.74,18.3,9.4,8.0,,164.1,,,,,,3.2,0.0,0.0,H302; H312; H315; H319; H332; H335,Irritant,Warning,Not listed,,False,False,False,False,False,False,False,False,False,False,Organic compounds,Organohalogen compounds,Vinyl halides,Vinyl bromides,Vinyl bromides,Bromoalkenes; Organobromides; Hydrocarbon derivatives,full_molecule,0.958,HIGH,1.0,0.85,1.0,1.0,1.0,0.75,False,False,False,False,False,True,https://pubchem.ncbi.nlm.nih.gov/compound/11712,pubchem,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2-Trichloro Propene","1,1,2-Trichloro Propene",systematic_chemical,"1,1,2-trichloroprop-1-ene",,21400-25-9,21400-25-9,True,original,30616.0,LIPPKMMVZOHCIF-UHFFFAOYSA-N,CC(Cl)=C(Cl)Cl,,True,C3H3Cl3,145.41,17.7,15.7,3.4,,,,,,,,3.0,0.0,0.0,,,,Not listed,,False,False,False,False,False,False,False,False,False,False,Organic compounds,Organohalogen compounds,Vinyl halides,Vinyl chlorides,Vinyl chlorides,Chloroalkenes; Organochlorides; Hydrocarbon derivatives,full_molecule,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,False,False,False,True,https://pubchem.ncbi.nlm.nih.gov/compound/30616,pubchem,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2-Trichloroethane","1,1,2-Trichloroethane",systematic_chemical,"1,1,2-trichloroethane",,79-00-5,79-00-5,True,original,6574.0,UBOXGVDOUJQMTN-UHFFFAOYSA-N,ClCC(Cl)Cl,,True,C2H3Cl3,133.40,18.2,5.3,6.8,,,-36.5,,,,,1.9,0.0,0.0,H302; H312; H332; H351; H331; H412; H315; H320; H335; H336; H370; H372; H402; H373,Irritant; Health Hazard; Acute Toxic,Warning,1,,True,False,False,True,False,False,False,False,False,False,Organic compounds,Organohalogen compounds,Organochlorides,,Organochlorides,Hydrocarbon derivatives; Alkyl chlorides,full_molecule,0.988,HIGH,1.0,1.0,1.0,1.0,1.0,0.75,False,False,False,False,False,True,https://pubchem.ncbi.nlm.nih.gov/compound/6574,pubchem,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"1,1,2-Trichlorotrifluoroethane (Freon113)","1,1,2-Trichlorotrifluoroethane",systematic_chemical,"1,1,2-trichloro-1,2,2-trifluoroethane",Freon113,76-13-1,76-13-1,True,original,6428.0,AJDIZQLSFPQPEY-UHFFFAOYSA-N,FC(F)(Cl)C(F)(Cl)Cl,,True,C2Cl3F3,187.37,14.7,1.6,0.0,,47.8,,,,,,3.2,0.0,3.0,H319; H411; H420; H320; H336; H370; H401; H412; H335; H372; H316,Irritant; Environmental Hazard; Health Hazard,Warning,Not listed,,False,False,False,False,False,False,False,False,False,False,Organic compounds,Organohalogen compounds,Alkyl halides,Alkyl chlorides,Chlorofluorocarbons,Organofluorides; Organochlorides; Hydrocarbon derivatives; Alkyl fluorides,full_molecule,0.958,HIGH,1.0,0.85,1.0,1.0,1.0,0.75,False,False,False,False,False,True,https://pubchem.ncbi.nlm.nih.gov/compound/6428,pubchem,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
